accuracy,loss,val_accuracy,val_loss
0.88998943567276,0.2994033098220825,0.8711214065551758,0.3367582857608795
0.9303544759750366,0.18866148591041565,0.8745047450065613,0.33056187629699707
0.9426631927490234,0.1558573693037033,0.8888394236564636,0.29019710421562195
0.9515441656112671,0.13281919062137604,0.8816720843315125,0.3077063262462616
0.9576206207275391,0.1136086955666542,0.866580605506897,0.3593429923057556
0.9614824056625366,0.10463526844978333,0.8854560852050781,0.30801501870155334
0.9652439951896667,0.09534186869859695,0.887103259563446,0.29437848925590515
0.968337893486023,0.08578507602214813,0.8903530240058899,0.29641205072402954
0.9707306027412415,0.08048415184020996,0.857632577419281,0.3891373872756958
0.9718880653381348,0.07648209482431412,0.9075368642807007,0.25959011912345886
